variant,accession,date,weight
other,XFH20512.1,2024-07-05,1.0
other,XFH20513.1,2024-07-02,1.0
other,XFH20514.1,2024-07-06,1.0
other,XFH20515.1,2024-07-10,1.0
other,XFH20516.1,2024-07-10,1.0
other,XFH20517.1,2024-04-29,1.0
other,XFD24741.1,2023-12-05,1.0
other,XFD24752.1,2023-12-11,1.0
other,XFD24761.1,2023-12-11,1.0
other,XFD24771.1,2023-12-01,1.0
A/Ontario/RV00796/2023,XFD24781.1,2024-01-28,1.0
A/Ontario/RV00796/2023,XFD24791.1,2024-02-23,1.0
A/Ontario/RV00796/2023,XFD24801.1,2024-02-19,1.0
A/Ontario/RV00796/2023,XFD24812.1,2024-03-12,1.0
A/Ontario/RV00796/2023,XFD24822.1,2024-02-19,1.0
other,XFD24833.1,2024-02-25,1.0
A/Bangkok/P3755/2023,XFD24843.1,2024-02-16,1.0
other,XFD24853.1,2024-02-19,1.0
other,XFD24863.1,2023-12-01,1.0
other,XFD24873.1,2024-01-07,1.0
other,XFD24881.1,2023-12-25,1.0
other,XFD24891.1,2024-01-06,1.0
other,XFD24903.1,2023-12-18,1.0
other,XFD24913.1,2023-12-14,1.0
other,XFD24921.1,2024-03-19,1.0
other,XFD24930.1,2023-12-30,1.0
A/Ontario/RV00796/2023,XFD24940.1,2024-01-03,1.0
A/Ontario/RV00796/2023,XFD24948.1,2024-02-23,1.0
A/Ontario/RV00796/2023,XFD24959.1,2024-03-12,1.0
other,XFD24970.1,2024-02-25,1.0
other,XFD24978.1,2024-02-27,1.0
other,XFD24989.1,2024-03-03,1.0
A/Ontario/RV00796/2023,XFD24999.1,2024-02-27,1.0
A/Bangkok/P3755/2023,XFD25007.1,2024-02-16,1.0
other,XFD25016.1,2024-01-02,1.0
other,XFD25026.1,2024-03-04,1.0
other,XFD25036.1,2024-02-19,1.0
A/Ontario/RV00796/2023,XFD25046.1,2024-04-01,1.0
A/Ontario/RV00796/2023,XFD25056.1,2024-04-01,1.0
other,XFD25067.1,2024-03-18,1.0
other,XFD25078.1,2024-03-03,1.0
other,XFD25088.1,2024-03-04,1.0
other,XFD25099.1,2024-02-27,1.0
other,XFD25109.1,2024-03-04,1.0
